domain,ats,confidence,url,explanation
fortune.com,Greenhouse,high,https://job-boards.greenhouse.io/fortune,"Fortune.com uses Greenhouse as their ATS. This was clearly identified from the official job board URL 'job-boards.greenhouse.io/fortune' which shows 23+ job openings across various departments. The page includes Fortune's official branding and mission statement, confirming it's their authentic careers portal."
vangst.com,SmartRecruiters,high,https://careers.smartrecruiters.com/VangstTalentNetwork,Clear indication from URL structure careers.smartrecruiters.com/VangstTalentNetwork. Page confirmed as official SmartRecruiters ATS platform with multiple active job postings for Vangst Talent Network.
acclaritygroup.com,Greenhouse,high,https://job-boards.greenhouse.io/acclarity,Found direct link to Greenhouse job board (job-boards.greenhouse.io/acclarity) on the company's careers page. This provides clear evidence that Acclarity Group uses Greenhouse as their ATS system.
level.co,Greenhouse,high,https://job-boards.greenhouse.io/level,"Level.co uses Greenhouse as their ATS system. This was clearly identified through the official Greenhouse job board URL (job-boards.greenhouse.io/level) found in search results. While they currently have no open positions, the presence of a dedicated Greenhouse job board confirms they use this ATS for their hiring process."
chuckecheese.com,Workday,high,https://cecentertainment.wd5.myworkdayjobs.com/CEC_Careers,"Chuck E. Cheese clearly uses Workday as their ATS system. Their official careers portal is hosted on Workday's domain (cecentertainment.wd5.myworkdayjobs.com), which follows Workday's standard URL pattern for client career sites. This was confirmed through multiple sources including their main job portal at chuckejobs.com which directs applicants to the Workday careers site."
afs.net,ADP Workforce Now,high,https://workforcenow.adp.com/jobs/apply/posting.html?client=afslog,"Found AFS Logistics careers page at afs.net/careers/ which directs to ADP WorkforceNow for job applications. The application URL clearly shows workforcenow.adp.com domain, and ATS detection confirmed ADP Workforce Now with high confidence based on multiple ADP-specific identifiers in the page structure."
ciconix.com,Jobvite,high,https://jobs.jobvite.com/careers/ciconix/jobs,"CICONIX clearly uses Jobvite as their ATS. Their official career site is hosted at jobs.jobvite.com, and all job applications redirect to app.jobvite.com URLs. The integration is complete and evident from both the URL structure and application flow."
trustaff.com,Workday,high,https://www.trustaff.com/corporate-careers,Found clear evidence of Workday ATS usage on the corporate careers page. The page contains a direct link to 'ingenovishealth.wd1.myworkdayjobs.com/Ingenovishealth' which is unmistakably Workday's platform. The 'wd1.myworkdayjobs.com' URL pattern is a clear indicator of Workday ATS.
yottaa.com,Lever,high,https://jobs.lever.co/yottaa,"Yottaa uses Lever as their ATS system. This was confirmed by finding their dedicated Lever jobs portal at jobs.lever.co/yottaa. Lever is a well-established ATS provider, and the URL structure is a clear indicator of their ATS choice."
expectra.fr,UNKNOWN,high,https://www.expectra.fr/offre/307-u61-r001119_01r/coordinateur_d_evenements_et_equipements_de_paris_hippiques_-_maine_et_loire_f_h/postuler/,"Expectra.fr uses a custom WordPress-based job application system. Analysis of multiple job application URLs (/postuler/ endpoints) showed no evidence of common ATS platforms like Workday, Greenhouse, Lever, Taleo, or others. All application forms use relative URLs on their own domain with custom JavaScript and styling, indicating a proprietary recruitment system rather than a third-party ATS."
aligneddc.com,Workday,high,https://aligneddc.wd12.myworkdayjobs.com/aligneddc,"Clear evidence found that Aligned Data Centers uses Workday as their ATS. The official careers page at aligneddc.com/company/careers/ links directly to their Workday portal at aligneddc.wd12.myworkdayjobs.com/aligneddc, which follows the standard Workday URL pattern (company.wd[number].myworkdayjobs.com/[company])."
tenchisecurity.com,Workable,high,https://apply.workable.com/tenchi-security/,"Tenchi Security uses Workable as their ATS. Found their job application portal at apply.workable.com/tenchi-security/ with clear Workable branding and functionality. The detection tool confirmed high confidence with multiple Workable indicators including domain, favicon, meta tags, and powered-by footer."
wideeffect.com,Avionte,high,https://hire.myavionte.com/sonar/v2/careers/integrations/standalone/general?bId=BeVf36m8G3o&jbId=Odt-SePVk9Y&rpid=general,"Found clear evidence of Avionte ATS usage through direct link to ""hire.myavionte.com"" on their careers page under ""Join Their Employment Database"". This URL pattern is a definitive indicator of Avionte's hiring platform being used by Wide Effect for job applications."
upriteco.com,Greenhouse,high,https://job-boards.greenhouse.io/upriteconstruction,Found direct link to Greenhouse job board on homepage. URL pattern 'job-boards.greenhouse.io/upriteconstruction' clearly indicates Greenhouse ATS usage.
catholiccharities.org,SmartRecruiters,high,https://careers.smartrecruiters.com/CatholicCharitiesOfTheArchdioceseOfGalveston-Houston,"Catholic Charities of the Archdiocese of Galveston-Houston uses SmartRecruiters as their ATS. This is confirmed by their official career page URL (careers.smartrecruiters.com/CompanyName) and verified job postings on the SmartRecruiters platform showing 5 current openings including Lead Clinician, Employee Relations Advisor, Case Manager II, and Bilingual Clinician positions."
greenkeyllc.com,Salesforce Experience Cloud (Community Cloud),high,https://gkrllc.my.site.com/s/login/,"Green Key Resources uses Salesforce Experience Cloud (Community Cloud) for their job application portal. The candidate login portal at gkrllc.my.site.com contains multiple Salesforce Aura framework references, siteforce components, and lightning elements, which are characteristic of Salesforce Experience Cloud implementations used as ATS systems."
wheelersp.com,Haley Marketing Job Board,high,https://careers.wheelersp.com/,"Wheeler Staffing Partners uses Haley Marketing Job Board ATS system for their job applications. This was detected through analysis of their careers page at careers.wheelersp.com, which contains scripts and CSS files with 'hmgjb' identifiers, '/index.smpl' URLs, 'hmg-jb' CSS classes, and Haley Marketing's Herefish API integration - all characteristic of the Haley Marketing Job Board platform."
kastle.com,iCIMS,high,https://careers-kastle.icims.com/jobs/intro,Kastle Systems uses iCIMS as their ATS. This was clearly identified from the job portal URL structure 'careers-kastle.icims.com' and confirmed by the iCIMS-specific login paths and interface elements found on their career pages.
behaviortreatmentanalysis.com,Breezy HR,high,https://behavior-treatment-analysis.breezy.hr/,"Clear evidence from both the main careers page and individual job postings. All application links consistently redirect to behavior-treatment-analysis.breezy.hr, confirming Breezy HR as their ATS system."
authentic.com,Greenhouse,high,https://boards.greenhouse.io/authenticbrandsgroup,"Found clear evidence that Authentic Brands Group (corporate.authentic.com) uses Greenhouse as their ATS. Their job board is hosted directly on Greenhouse's platform at boards.greenhouse.io/authenticbrandsgroup, which definitively confirms Greenhouse as their applicant tracking system."
usc.edu,Workday,high,https://usc.wd5.myworkdayjobs.com/ExternalUSCCareers,"Clear evidence of Workday ATS usage found in USC's career portal URLs. The external careers portal uses the distinctive myworkdayjobs.com domain (usc.wd5.myworkdayjobs.com), and internal employee access uses wd5.myworkday.com. These URL patterns are definitive indicators of Workday's ATS platform."
mplthealthcare.com,UNKNOWN,high,https://www.mplthealthcare.com/jobs/,"MPLT Healthcare uses a custom-built job application system integrated directly into their WordPress website. The application process involves forms built with Contact Form 7 plugin, with file uploads and candidate information processed on their own servers. No third-party ATS platforms (Greenhouse, Workday, Lever, etc.) were detected through URL analysis, form actions, or embedded scripts. All job applications are handled internally through their proprietary system."
aloyoga.com,Greenhouse,high,https://boards.greenhouse.io/aloyoga,Found clear evidence that Alo Yoga uses Greenhouse as their ATS. Their job board is hosted at boards.greenhouse.io/aloyoga and specific job applications use the format job-boards.greenhouse.io/aloyoga/jobs/[job-id]. This is a definitive indication of Greenhouse being their applicant tracking system.
duolingo.com,Greenhouse,high,https://boards.greenhouse.io/duolingo/jobs/6988375002,"Duolingo clearly uses Greenhouse as their ATS system. Multiple job application URLs found pointing to boards.greenhouse.io/duolingo, including specific positions like Senior Software Engineer, Learning Scientist, Platform Engineer, and others. The ATS detection tool confirmed Greenhouse with high confidence."
wolfjawstudios.com,SmartRecruiters,high,https://careers.smartrecruiters.com/wolfjawstudios,"Clear indication from careers URL pattern. The company uses SmartRecruiters hosted at careers.smartrecruiters.com/wolfjawstudios subdomain, which is the standard URL structure for SmartRecruiters ATS."
replicon.com,Brassring,high,https://sjobs.brassring.com/TGnewUI/Search/Home/Home?partnerid=25397&siteid=5259,Replicon has been acquired by Deltek and uses their job application system. Both the Deltek careers page and their job portal clearly use Brassring ATS. The URL pattern sjobs.brassring.com is a clear indicator of IBM Kenexa BrassRing ATS system.
dsma.com,UNKNOWN,low,https://dsma.com,"After extensive searching, DSMA (Dealer Solutions Mergers & Acquisitions) does not appear to have a dedicated careers page with an integrated ATS system on their main website. They primarily use third-party job boards like Indeed.com and LinkedIn for posting job opportunities. The company's main website (dsma.com) focuses on their M&A advisory services rather than recruitment. A direct job posting URL (dev.dsma.com/jobs/sales-assistant/) was found but resulted in timeout errors when analyzed. The company appears to handle applications through external platforms rather than an internal ATS."
connerstrong.com,ADP,high,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=74e108bd-1f38-4fe3-bc23-44be427fb016&ccId=19000101_000001&type=JS&lang=en_US&source=LinkedIn,Found direct job application link using ADP Workforce Now platform. The URL clearly contains 'workforcenow.adp.com' which is ADP's recruitment and HR management system.
postman.com,Greenhouse,high,https://job-boards.greenhouse.io/postman/,"Postman uses Greenhouse as their primary ATS system. This is confirmed by multiple indicators: (1) Their main careers page at postman.com/company/careers/ links directly to job-boards.greenhouse.io/postman/, (2) All job postings are hosted on the Greenhouse platform with URLs like job-boards.greenhouse.io/postman/jobs/[ID], (3) The job board footer shows ""Powered by Greenhouse"", and (4) Job descriptions mention using ""Greenhouse Applicant Tracking System"". While there were some references to Workable in search results, the primary and official application portal is through Greenhouse."
gif-emploi.fr,UNKNOWN,medium,https://www.gif-emploi.fr/candidature,"GIF Emploi uses an internal, custom-built application system rather than a traditional external ATS. Applications are processed through Drupal-based forms and direct email submissions to recruiters. No evidence of external ATS providers like Greenhouse, Workday, or similar systems found."
tackle.ai,Rippling,high,https://tackleai.rippling-ats.com/,Clear evidence from search results showing Rippling ATS subdomain 'tackleai.rippling-ats.com' for career opportunities. Rippling is a well-known HR platform that includes ATS functionality.
kirkwood.edu,NEOGOV,high,https://www.schooljobs.com/careers/kirkwoodcc,"Kirkwood Community College uses NEOGOV as their ATS system. Their job listings are hosted on schooljobs.com/careers/kirkwoodcc, which is powered by NEOGOV's platform. The ATS detection tool confirmed multiple NEOGOV references including branding, scripts, and privacy documents on the application portal."
axiombuilders.ca,Dayforce,high,https://can242.dayforcehcm.com/CandidatePortal/en-US/companyhris/SITE/AxiomBuilders,"Found official careers link on axiombuilders.ca website pointing to Dayforce HCM candidate portal. The URL structure clearly shows ""dayforcehcm.com"" domain indicating use of Dayforce as their ATS system."
mkgny.com,LinkedIn,medium,https://www.linkedin.com/jobs/medical-knowledge-group-jobs,Medical Knowledge Group directs job applicants to their LinkedIn company page for all job applications. Their website careers section specifically links to LinkedIn for viewing open positions. Multiple current job postings are hosted on LinkedIn with applications processed through LinkedIn's native system. No external ATS platform detected.
findoctave.com,Greenhouse,high,https://boards.greenhouse.io/embed/job_board?for=octave,"Clear evidence from job board URL showing 'boards.greenhouse.io' domain, confirmed by WebFetch showing active Greenhouse job board with multiple postings for clinical and corporate roles."
e57partners.com,Workday,high,https://www.e57partners.com/cgi-e57partners/postings.cgi,"Detected Workday ATS with high confidence from their main job postings page using HTML pattern matching. Also found evidence of JobDiva integration in their community portal, suggesting they may use multiple systems for different purposes (Workday for direct job applications, JobDiva for their consultant community)."
apexservicepartners.com,iCIMS,high,https://careers-apexservicepartners.icims.com/jobs/search?hashed=-625917716&mobile=false&width=1700&height=500&bga=true&needsRedirect=false&jan1offset=-360&jun1offset=-300,Successfully detected iCIMS ATS from the careers page URL structure (careers-apexservicepartners.icims.com) and confirmed through HTML pattern analysis. The company uses iCIMS for their job application portal with high confidence.
barclaycomms.com,UNKNOWN,high,https://barclaycomms.com/technical-support-3rd-line/,Barclay Communications does not use a traditional ATS system. They use email-based applications where candidates send CVs directly to recruitment@barclaycomms.com. Job postings are on their website but don't integrate with external ATS platforms.
plus3it.com,Greenhouse,high,https://www.plus3it.com/jobs?gh_jid=8054925002,"Found clear evidence of Greenhouse usage: official job board hosted on greenhouse.io domain, all job application URLs contain Greenhouse job ID parameters (gh_jid=), and company documentation explicitly mentions Greenhouse in their hiring process."
hilti.pl,Umantis,high,https://careers.hilti.group/en/jobs/wd-0037474-pl/doradca-klienta-hilti-store/,"Detected Umantis ATS with high confidence. Job application pages contain 'Apply Now' buttons that redirect to recruitingapp-2845.umantis.com domain, which is a known Umantis ATS domain. Hilti uses a global careers platform at careers.hilti.group for all their job postings including Polish positions."
hilti.ch,Umantis,high,https://careers.hilti.group/en-us/jobs/wd-0037032-en/specification-engineer-strategic-partners/,Confirmed Umantis ATS usage. All job application links on careers.hilti.group redirect to recruitingapp-2845.umantis.com platform for the actual application process. Multiple job postings consistently show this pattern.
kyoceradocumentsolutions.us,iCIMS,high,https://careers-kyocera.icims.com/jobs/,"Clear identification through URL pattern analysis. The careers page at kyoceradocumentsolutions.us has Apply Now buttons that direct to careers-kyocera.icims.com, which is the distinctive URL pattern for iCIMS ATS. This was confirmed by the ATS detection tool with high confidence."
americanbar.org,Applytojob,high,https://americanbarassociationruleoflawinitiative.applytojob.com/apply,Successfully detected Applytojob ATS from the American Bar Association's job application URL. The URL pattern 'applytojob.com' clearly indicates they use this platform for their hiring process.
winnyc.org,ADP Workforce Now,high,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?rb=LinkedIn&ccId=19000101_000001&type=MP&lang=en_US&cid=0f3c1b89-3b8c-4140-a849-f6664b24384c&selectedMenuKey=CurrentOpenings,"Clear identification from URL structure - the careers page at winnyc.org/careers-at-win/ redirects to workforcenow.adp.com for job applications, which is ADP's Workforce Now ATS platform."
apexfintechsolutions.com,Workday,high,https://peak6group.wd1.myworkdayjobs.com/apexfintechsolutions/job/Austin-TX/Senior-Software-Engineer_JR103035?source=BuiltInNationwide,"Found Workday ATS through job application URL from Built In job board. The URL structure 'peak6group.wd1.myworkdayjobs.com/apexfintechsolutions' clearly indicates Workday as the ATS provider, confirmed by HTML pattern analysis."
venterra.com,Jobvite,high,https://jobs.jobvite.com/venterra/jobs,"Found clear evidence that Venterra Realty uses Jobvite as their ATS. Their careers page is hosted at jobs.jobvite.com/venterra/jobs, and their main website directs applicants to jobs.venterra.com which is powered by Jobvite. The URL structure clearly indicates Jobvite as the ATS provider."
mindoula.com,Breezy HR,high,https://mindoula-health-inc.breezy.hr/,"Mindoula Health's official careers page directly links to their Breezy HR job portal at mindoula-health-inc.breezy.hr. The URL structure clearly indicates Breezy HR as their ATS system, confirmed by the functional job portal with active job postings and application links."
genedyeg.com,UNKNOWN,high,https://genedyeg.com/careers/senior-electrical-technical-office-engineer/,Genedy Construction uses custom WordPress-based application forms built with Elementor and Contact Form 7. No known ATS platform detected - appears to be a self-hosted solution for collecting job applications directly through their website.
avalabs.org,Greenhouse,high,https://job-boards.greenhouse.io/avalabs,"Found direct evidence of Greenhouse ATS usage through official job board URL structure. The URL ""job-boards.greenhouse.io/avalabs"" clearly indicates Ava Labs uses Greenhouse as their applicant tracking system."
vizonere.com,Simple Job Board,high,https://www.vizonere.com/jobs/,Vizonere.com uses the Simple Job Board WordPress plugin as their ATS system. This was detected with high confidence based on the presence of simple-job-board specific CSS and JavaScript files (simple-job-board-public.js and simple-job-board-public.css) on their jobs page. The job listing structure and filters also match the patterns typical of this plugin.
lagunitas.com,SuccessFactors,high,https://careers.theheinekencompany.com/Lagunitas/?locale=en_US,"Lagunitas (owned by Heineken) uses SuccessFactors as their ATS. Technical analysis of their careers page revealed clear indicators including SuccessFactors URL (career5.successfactors.eu), SSO configuration, and SuccessFactors-specific JavaScript initialization. All job applications are processed through the Heineken career portal powered by SuccessFactors."
cameronashleybp.com,UNKNOWN,low,https://www.cameronashleybp.com/Careers,"Unable to access company's direct career pages due to 403 restrictions. Search results show job postings primarily on Indeed and Glassdoor, but no clear indication of specific ATS system. No obvious ATS URLs (greenhouse, workday, bamboohr, etc.) found in available search results."
umgcventures.org,ADP Workforce Now,high,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=dbfe5748-ed50-4284-b932-63417c9af81b&ccId=19000101_000001&lang=en_US,"Found direct job application link on careers page that clearly uses ADP Workforce Now platform, identifiable by the workforcenow.adp.com domain in the URL"
jonusgroup.com,Vincere,high,https://careers.jonusgroup.com/job/139035/ca-workers-compensation-claims-adjuster-remote/long-beach,"Detected Vincere ATS with high confidence. Multiple job postings on careers.jonusgroup.com show clear indicators including vincere.io domain references in assets, JSON-LD structured data, and platform-specific branding. Confirmed across multiple job URLs."
